t,x,y,h,correction_norm,distance_obs1,physical_margin_obs1,filter_margin_obs1,distance_obs2,physical_margin_obs2,filter_margin_obs2
7.149999999999982592e+00,1.905409404569019305e+00,2.301947914787226601e+00,6.005530610334457897e+00,2.336608675408902418e-03,2.703447174974050515e+00,2.253447174974050782e+00,2.103447174974050426e+00,4.783721776181039331e+00,4.183721776181039687e+00,4.033721776181039331e+00
7.199999999999982414e+00,1.890958637465608216e+00,2.313820188832220737e+00,5.925926852667559253e+00,2.336401320632285148e-03,2.687905647782800500e+00,2.237905647782800322e+00,2.087905647782800411e+00,4.771000566089123929e+00,4.171000566089124284e+00,4.021000566089123929e+00
7.249999999999982236e+00,1.876435915191571713e+00,2.325602509875985380e+00,5.846716603929078993e+00,2.336204536545291848e-03,2.672341238912065986e+00,2.222341238912066252e+00,2.072341238912065897e+00,4.758235104474158206e+00,4.158235104474158561e+00,4.008235104474158206e+00
7.299999999999982059e+00,1.861841757577034961e+00,2.337294286772394702e+00,5.767902462768026872e+00,2.336018731242571304e-03,2.656754099285909554e+00,2.206754099285909376e+00,2.056754099285909465e+00,4.745425455633682787e+00,4.145425455633683143e+00,3.995425455633682787e+00
7.349999999999981881e+00,1.847176677649951415e+00,2.348894945751290653e+00,5.689487033782786973e+00,2.335844161624345966e-03,2.641144367699947093e+00,2.191144367699947360e+00,2.041144367699947004e+00,4.732571675274376943e+00,4.132571675274377299e+00,3.982571675274376943e+00
7.399999999999981704e+00,1.832441183310192789e+00,2.360403929626459618e+00,5.611472928999650556e+00,2.335680950537950135e-03,2.625512172840926528e+00,2.175512172840926794e+00,2.025512172840926439e+00,4.719673812293213366e+00,4.119673812293213722e+00,3.969673812293213366e+00
7.449999999999981526e+00,1.817635778855063444e+00,2.371820697005281531e+00,5.533862768918759834e+00,2.335529102916423464e-03,2.609857635147204036e+00,2.159857635147203858e+00,2.009857635147203947e+00,4.706731910394729823e+00,4.106731910394730178e+00,3.956731910394729823e+00
7.499999999999981348e+00,1.802760966362109363e+00,2.383144721505761510e+00,5.456659183175183614e+00,2.335388520898463559e-03,2.594180868514698535e+00,2.144180868514698801e+00,1.994180868514698446e+00,4.693746009551330367e+00,4.093746009551330722e+00,3.943746009551330367e+00
7.549999999999981171e+00,1.787817246935551108e+00,2.394375490985910293e+00,5.379864810860030211e+00,2.335259017924321435e-03,2.578481981853672167e+00,2.128481981853671989e+00,1.978481981853672078e+00,4.680716147313978226e+00,4.080716147313978581e+00,3.930716147313978226e+00
7.599999999999980993e+00,1.772805121822997654e+00,2.405512506789756255e+00,5.303482300543651107e+00,2.335140331816032422e-03,2.562761080502267141e+00,2.112761080502266964e+00,1.962761080502267053e+00,4.667642359980999522e+00,4.067642359980999878e+00,3.917642359980999522e+00
7.649999999999980815e+00,1.757725093409351569e+00,2.416555283013643862e+00,5.227514310040002776e+00,2.335032136852155816e-03,2.547018267503235123e+00,2.097018267503234945e+00,1.947018267503235034e+00,4.654524683632979887e+00,4.054524683632980242e+00,3.904524683632979887e+00
7.699999999999980638e+00,1.742577666094966782e+00,2.427503345795870349e+00,5.151963505948491395e+00,2.334934054863764021e-03,2.531253644750648402e+00,2.081253644750648668e+00,1.931253644750648313e+00,4.641363155041826616e+00,4.041363155041826971e+00,3.891363155041826616e+00
7.749999999999980460e+00,1.727363347065186350e+00,2.438356232632192810e+00,5.076832563006767884e+00,2.334845665370613964e-03,2.515467314013659195e+00,2.065467314013659461e+00,1.915467314013659106e+00,4.628157812462193377e+00,4.028157812462193732e+00,3.878157812462193377e+00
7.799999999999980282e+00,1.712082646958406063e+00,2.449113491719233870e+00,5.002124163285167846e+00,2.334766514797310955e-03,2.499659377844523078e+00,2.049659377844522901e+00,1.899659377844522989e+00,4.614908696313387182e+00,4.014908696313387537e+00,3.864908696313387182e+00
7.849999999999980105e+00,1.696736080439734451e+00,2.459774681327372203e+00,4.927840995250932110e+00,2.334696124800317036e-03,2.483829940378218026e+00,2.033829940378217849e+00,1.883829940378217938e+00,4.601615849759796539e+00,4.001615849759796895e+00,3.851615849759796539e+00
7.899999999999979927e+00,1.681324166687230059e+00,2.470339369204294755e+00,4.853985752727595582e+00,2.334633999749477235e-03,2.467979108030985191e+00,2.017979108030985458e+00,1.867979108030985103e+00,4.588279319197759776e+00,3.988279319197759687e+00,3.838279319197759776e+00
7.949999999999979750e+00,1.665847429797527202e+00,2.480807132010020677e+00,4.780561133772759597e+00,2.334579633402094050e-03,2.452106990105082485e+00,2.002106990105082751e+00,1.852106990105082396e+00,4.574899154656560718e+00,3.974899154656560629e+00,3.824899154656560718e+00
7.999999999999979572e+00,1.650306399117486444e+00,2.491177554783883252e+00,4.707569839494794017e+00,2.334532514815624866e-03,2.436213699306936764e+00,1.986213699306936808e+00,1.836213699306936675e+00,4.561475410121020424e+00,3.961475410121020335e+00,3.811475410121020424e+00
8.049999999999979394e+00,1.634701609508259823e+00,2.501450230443654110e+00,4.635014572827079071e+00,2.334492133543060802e-03,2.420299352185727226e+00,1.970299352185727271e+00,1.820299352185727138e+00,4.548008143782859669e+00,3.948008143782859580e+00,3.798008143782859669e+00
8.099999999999980105e+00,1.619033601547942958e+00,2.511624759316745337e+00,4.562898037276144514e+00,2.334457984157826266e-03,2.404364069499253187e+00,1.954364069499253231e+00,1.804364069499253098e+00,4.534497418227744880e+00,3.934497418227744792e+00,3.784497418227744880e+00
