time_s,leader_x_m,leader_y_m,leader_vx_map_ms,leader_vy_map_ms,leader_v_ms,leader_yaw_rad,leader_omega_rads,follower_x_m,follower_y_m,follower_vx_map_ms,follower_vy_map_ms,follower_v_ms,follower_yaw_rad,follower_omega_rads,distance_m
1.0206,-0.0621,1.6393,-0.2323,-0.1597,0.2819,-0.0231,0.0069,-1.7262,1.8191,0.4055,-0.0785,0.4131,0.0595,-0.0049,1.6738
1.0211,-0.0636,1.6381,-0.2323,-0.1597,0.2819,-0.0230,0.0069,-1.7230,1.8185,0.4055,-0.0785,0.4131,0.0616,-0.0049,1.6692
1.0404,-0.0652,1.6365,-0.2313,-0.1602,0.2814,-0.0230,0.0073,-1.7195,1.8178,0.4069,-0.0788,0.4145,0.0649,-0.0001,1.6642
1.0407,-0.0665,1.6352,-0.2299,-0.1605,0.2804,-0.0230,0.0067,-1.7162,1.8172,0.4068,-0.0788,0.4143,0.0671,0.0018,1.6597
1.0501,-0.0679,1.6337,-0.2286,-0.1609,0.2795,-0.0230,0.0068,-1.7129,1.8165,0.4066,-0.0787,0.4141,0.0687,0.0028,1.6550
1.0504,-0.0695,1.6322,-0.2286,-0.1609,0.2795,-0.0229,0.0068,-1.7093,1.8157,0.4066,-0.0787,0.4141,0.0704,0.0028,1.6500
1.0704,-0.0710,1.6308,-0.2256,-0.1612,0.2772,-0.0229,0.0078,-1.7061,1.8150,0.4067,-0.0782,0.4142,0.0725,0.0039,1.6455
1.0707,-0.0727,1.6291,-0.2256,-0.1612,0.2772,-0.0228,0.0078,-1.7025,1.8141,0.4061,-0.0778,0.4135,0.0751,0.0038,1.6402
1.0902,-0.0742,1.6277,-0.2237,-0.1619,0.2761,-0.0228,0.0079,-1.6993,1.8133,0.4075,-0.0782,0.4150,0.0766,0.0034,1.6356
1.1003,-0.0759,1.6261,-0.2222,-0.1619,0.2749,-0.0227,0.0076,-1.6959,1.8123,0.4070,-0.0784,0.4145,0.0792,0.0031,1.6307
1.1006,-0.0771,1.6249,-0.2222,-0.1619,0.2749,-0.0226,0.0076,-1.6931,1.8117,0.4070,-0.0784,0.4145,0.0807,0.0031,1.6268
1.1100,-0.0786,1.6233,-0.2191,-0.1621,0.2725,-0.0224,0.0057,-1.6897,1.8108,0.4059,-0.0784,0.4134,0.0830,0.0027,1.6220
1.1103,-0.0800,1.6219,-0.2191,-0.1621,0.2725,-0.0222,0.0057,-1.6865,1.8100,0.4053,-0.0785,0.4128,0.0848,0.0037,1.6175
1.1304,-0.0814,1.6203,-0.2162,-0.1628,0.2706,-0.0221,0.0058,-1.6830,1.8092,0.4055,-0.0788,0.4130,0.0877,0.0046,1.6127
1.1307,-0.0829,1.6187,-0.2149,-0.1633,0.2699,-0.0219,0.0065,-1.6794,1.8082,0.4056,-0.0792,0.4132,0.0891,0.0037,1.6077
1.1403,-0.0845,1.6171,-0.2143,-0.1642,0.2700,-0.0212,0.0070,-1.6757,1.8072,0.4069,-0.0797,0.4146,0.0914,0.0020,1.6026
1.1406,-0.0857,1.6157,-0.2143,-0.1642,0.2700,-0.0202,0.0070,-1.6725,1.8063,0.4069,-0.0797,0.4146,0.0922,0.0020,1.5982
1.1601,-0.0870,1.6141,-0.2113,-0.1647,0.2679,-0.0188,0.0052,-1.6694,1.8053,0.4069,-0.0803,0.4147,0.0940,-0.0066,1.5939
1.1604,-0.0883,1.6126,-0.2113,-0.1647,0.2679,-0.0176,0.0052,-1.6662,1.8042,0.4069,-0.0803,0.4147,0.0956,-0.0066,1.5895
1.1804,-0.0894,1.6111,-0.2082,-0.1655,0.2659,-0.0167,-0.0062,-1.6631,1.8034,0.4057,-0.0816,0.4139,0.0965,-0.0044,1.5854
1.1807,-0.0908,1.6094,-0.2067,-0.1660,0.2651,-0.0158,-0.0080,-1.6597,1.8022,0.4051,-0.0822,0.4134,0.0980,-0.0029,1.5807
1.1902,-0.0921,1.6077,-0.2050,-0.1666,0.2641,-0.0148,-0.0083,-1.6564,1.8012,0.4045,-0.0827,0.4129,0.0986,-0.0037,1.5762
1.1905,-0.0933,1.6061,-0.2038,-0.1676,0.2639,-0.0137,-0.0087,-1.6532,1.8000,0.4051,-0.0837,0.4137,0.0998,-0.0023,1.5718
1.2104,-0.0944,1.6047,-0.2017,-0.1677,0.2623,-0.0128,-0.0095,-1.6501,1.7990,0.4038,-0.0842,0.4125,0.1000,0.0011,1.5677
1.2107,-0.0956,1.6031,-0.2017,-0.1677,0.2623,-0.0114,-0.0095,-1.6470,1.7979,0.4038,-0.0842,0.4125,0.1004,0.0011,1.5636
1.2305,-0.0979,1.5999,-0.1975,-0.1702,0.2608,-0.0091,-0.0103,-1.6435,1.7965,0.4029,-0.0860,0.4120,0.1006,0.0062,1.5580
1.2308,-0.0979,1.5999,-0.1975,-0.1702,0.2608,-0.0091,-0.0103,-1.6407,1.7955,0.4037,-0.0876,0.4131,0.1012,0.0057,1.5552
1.2402,-0.0991,1.5983,-0.1956,-0.1704,0.2594,-0.0080,-0.0038,-1.6373,1.7943,0.4023,-0.0882,0.4119,0.1011,0.0073,1.5507
1.2406,-0.1001,1.5968,-0.1956,-0.1704,0.2594,-0.0072,-0.0038,-1.6342,1.7932,0.4023,-0.0882,0.4119,0.1016,0.0073,1.5466
